episode,reward,moves,checks,mates
245,-1.85,44,0,0
246,-1.73,64,0,0
247,-1.77,70,0,0
248,-3.58,135,0,0
249,-1.23,17,1,0
250,-4.17,150,1,0
251,-4.39,150,0,0
252,-3.86,150,1,0
253,-2.06,39,0,0
254,-2.55,78,1,0
255,-3.89,150,0,0
256,-3.37,150,0,0
257,-2.14,92,0,0
258,-1.49,55,1,0
259,-3.69,143,0,0
260,-4.7,150,0,0
261,-4.36,150,0,0
262,-2.21,72,0,0
263,-2.9,67,0,0
264,-4.84,150,0,0
265,-2.5,75,0,0
266,-1.01,9,0,0
267,-2.27,48,0,0
268,-1.53,29,0,0
269,-1.88,60,0,0
270,-4.88,150,2,0
271,-3.06,150,0,0
272,-2.43,46,0,0
273,-4.16,87,1,0
274,-2.25,51,0,0
275,-3.95,150,1,0
276,-3.19,111,0,0
277,-3.79,141,0,0
278,-1.13,34,0,0
279,-2.08,64,2,0
280,-1.27,34,0,0
281,-3.24,150,0,0
282,-1.5,29,1,0
283,-3.21,99,2,0
284,-4.0,145,2,0
285,-3.01,66,0,0
286,-4.69,150,1,0
287,-1.08,97,1,0
288,-2.07,42,0,0
289,-1.03,34,0,0
290,-4.18,150,0,0
291,-6.02,150,0,0
292,-1.72,112,2,0
293,-6.12,150,0,0
294,-2.55,46,0,0
295,-1.1,8,0,0
296,-5.27,150,0,0
297,-4.0,102,1,0
298,-4.78,150,0,0
299,-5.13,150,0,0
300,-2.19,57,0,0
301,-1.71,47,1,0
302,-3.64,150,0,0
303,-5.02,150,0,0
304,-2.03,39,0,0
305,-4.42,130,1,0
306,-4.71,150,0,0
307,-1.09,10,0,0
308,-2.89,103,0,0
309,-3.26,73,0,0
310,-1.33,51,0,0
311,-1.86,31,0,0
312,-2.04,45,0,0
313,-1.54,107,2,0
314,-4.04,107,0,0
315,-1.33,67,1,0
316,-4.28,150,1,0
317,-2.9,55,0,0
318,-3.49,150,1,0
319,-2.29,45,0,0
320,-6.25,150,0,0
321,-1.6,56,0,0
322,-1.14,10,0,0
323,-0.79,31,0,0
324,-2.06,58,1,0
325,-5.18,150,0,0
326,-4.49,150,0,0
327,-2.34,102,0,0
328,-2.66,48,0,0
329,-1.31,37,0,0
330,-2.12,120,0,0
331,-2.86,60,0,0
332,-1.33,47,0,0
333,-2.54,150,1,0
334,-1.89,106,2,0
335,-2.51,69,1,0
336,-4.94,150,1,0
337,-1.23,50,0,0
338,-2.68,48,1,0
339,-4.68,150,2,0
340,-2.35,102,0,0
341,-2.96,99,1,0
342,-4.08,147,0,0
343,-2.67,69,0,0
344,-3.25,87,0,0
345,-2.06,85,0,0
346,-4.58,100,1,0
347,-1.98,49,0,0
348,-4.65,138,1,0
349,-1.16,31,0,0
350,-2.67,106,0,0
351,-4.93,150,0,0
352,-1.19,31,0,0
353,-2.65,118,0,0
354,-4.96,150,0,0
355,-4.76,109,2,0
356,-1.92,101,1,0
357,-2.28,150,0,0
358,-1.51,23,0,0
359,-2.22,150,1,0
360,-1.54,41,1,0
361,-4.96,150,0,0
362,-1.84,65,1,0
363,-6.02,150,0,0
364,-1.18,36,0,0
365,-1.36,41,0,0
366,-2.76,107,0,0
367,-1.07,2,0,0
368,-1.61,34,0,0
369,-1.56,28,0,0
370,-2.29,53,0,0
371,-1.08,11,0,0
372,-4.82,150,0,0
373,-2.61,84,0,0
374,-3.75,113,0,0
375,-3.57,96,0,0
376,-3.02,130,0,0
377,-6.04,150,1,0
378,-1.37,41,0,0
379,-2.02,117,0,0
380,-3.69,95,0,0
381,-1.27,35,1,0
382,-1.79,44,0,0
383,-1.24,41,0,0
384,-4.71,148,0,0
385,-3.88,147,1,0
386,-3.77,139,0,0
387,-2.36,94,0,0
388,-1.21,37,0,0
389,-0.82,45,1,0
390,-1.3,31,1,0
391,-5.06,150,0,0
392,-2.48,79,0,0
393,-2.39,72,0,0
394,-4.27,77,0,0
395,-2.12,42,0,0
396,-2.32,55,0,0
397,-1.04,7,0,0
398,-1.84,40,0,0
399,-4.85,150,1,0
400,-5.08,150,0,0
401,-2.38,78,0,0
402,-2.24,86,0,0
403,-2.67,90,0,0
404,-1.19,110,3,0
405,-2.66,54,1,0
406,-4.97,150,1,0
407,-2.32,55,0,0
408,-4.8,109,0,0
409,-3.07,62,0,0
410,-4.64,150,0,0
